date,avgtempC,winddirDegree,windspeedKmph,cloudcover,humidity,precipInches,pressure,visibility,maxtempC,mintempC,sunHour,Ozone(ppm)
2015-01-01,2,70,13,98,87,0.2,1025,10,4,1,3.8,0.007882
2015-01-02,4,137,13,99,89,0.1,1019,8,5,4,3.8,0.006470999999999999
2015-01-03,7,277,11,35,78,0.1,1016,9,14,3,7.1,0.021882
2015-01-04,6,218,17,2,67,0.0,1030,10,8,2,8.7,0.028625
2015-01-05,3,93,10,1,56,0.0,1036,10,8,-2,8.7,0.022042
2015-01-06,9,208,10,6,56,0.0,1028,10,17,4,8.7,0.025044999999999998
2015-01-07,6,68,22,25,69,0.0,1033,10,10,0,5.4,0.029647000000000003
2015-01-08,-1,105,13,26,42,0.0,1035,10,4,-4,8.7,0.024125
2015-01-09,2,41,15,85,77,0.1,1031,10,3,1,3.8,0.020353
2015-01-10,1,36,9,94,81,0.0,1031,9,1,0,3.8,0.021304
2015-01-11,4,117,7,47,84,0.1,1023,9,11,1,7.1,0.015333000000000001
2015-01-12,6,110,14,34,79,0.0,1025,10,8,4,8.7,0.011470999999999999
2015-01-13,4,140,14,61,77,0.0,1030,10,7,2,7.1,0.013118000000000001
2015-01-14,4,18,11,96,73,0.0,1028,10,5,3,3.8,0.013765000000000001
2015-01-15,7,305,10,45,60,0.0,1027,10,13,4,8.7,0.020941
2015-01-16,9,251,7,6,62,0.0,1025,10,16,3,8.7,0.020888999999999998
2015-01-17,12,249,18,53,50,0.0,1020,10,20,5,5.5,0.034470999999999995
2015-01-18,13,230,12,13,46,0.0,1025,10,19,8,8.7,0.039471
2015-01-19,13,202,16,1,47,0.0,1018,10,21,7,8.7,0.044412
2015-01-20,15,206,9,1,48,0.0,1014,10,24,9,8.7,0.039235
2015-01-21,12,39,16,68,88,0.1,1018,10,13,10,3.9,0.0225
2015-01-22,8,38,28,100,91,0.3,1019,9,13,5,3.9,0.031176
2015-01-23,5,289,22,66,81,0.2,1024,10,7,5,8.5,0.027042
