date_local,avgtempC,winddirDegree,windspeedKmph,cloudcover,humidity,precipInches,pressure,visibility,maxtempC,mintempC,sunHour,PM10
2015-01-06,9,208,10,6,56,0.0,1028,10,17,4,8.7,28.0
2015-01-12,6,110,14,34,79,0.0,1025,10,8,4,8.7,10.0
2015-01-18,13,230,12,13,46,0.0,1025,10,19,8,8.7,22.0
2015-01-24,8,266,12,31,60,0.0,1022,10,15,3,10.8,16.0
2015-01-30,11,48,19,54,55,0.0,1028,10,13,9,8.5,15.0
2015-02-05,5,274,17,39,67,0.0,1028,10,8,3,8.5,14.0
2015-02-11,16,145,11,2,62,0.0,1016,10,23,9,11.0,23.0
2015-02-17,5,160,16,39,51,0.0,1023,10,11,1,10.1,13.0
2015-02-23,1,50,29,100,81,0.1,1031,10,3,-1,5.6,6.0
2015-03-01,3,57,18,100,87,0.0,1025,9,5,1,5.9,9.0
2015-03-07,8,125,7,32,51,0.0,1029,10,14,3,11.6,23.0
2015-03-13,14,145,13,59,73,0.0,1018,9,19,10,8.8,19.0
2015-03-19,21,177,13,72,85,0.1,1014,8,26,18,8.8,11.0
2015-03-25,20,179,20,33,82,0.0,1013,9,26,15,10.2,19.0
2015-03-31,20,193,20,83,85,0.0,1016,10,23,18,7.5,24.0
2015-04-06,22,175,21,63,83,0.0,1013,9,27,18,10.2,23.0
2015-04-12,21,155,12,82,86,0.1,1012,6,26,18,6.3,21.0
2015-04-18,20,101,6,74,86,0.0,1011,6,24,18,7.8,13.0
2015-04-24,24,162,16,64,84,0.1,1009,9,28,21,9.6,30.0
2015-04-30,18,193,8,3,51,0.0,1015,10,26,11,13.6,24.0
2015-05-06,24,164,18,68,83,0.3,1013,8,28,20,9.7,23.0
2015-05-12,19,48,16,93,94,0.0,1020,10,20,18,8.6,11.0
2015-05-18,26,138,9,66,85,0.7,1016,6,29,23,13.3,36.0
2015-05-24,23,158,20,64,87,0.0,1011,9,26,20,11.0,14.0
2015-05-30,25,246,9,34,80,0.2,1016,9,29,22,14.0,14.0
2015-06-05,26,168,9,29,74,0.0,1016,8,31,22,13.4,20.0
2015-06-11,27,180,17,24,68,0.0,1009,9,32,22,14.0,17.0
2015-06-17,23,235,19,48,91,0.1,1010,9,27,22,14.1,11.0
2015-06-23,26,139,11,67,84,0.2,1019,6,31,23,12.2,23.0
2015-06-29,27,197,14,25,74,0.1,1015,10,33,23,14.1,71.0
2015-07-05,27,178,20,49,76,0.0,1016,9,32,23,12.2,53.0
2015-07-11,27,184,11,9,66,0.0,1019,9,33,22,14.0,50.0
2015-07-17,29,184,17,25,66,0.0,1013,9,36,24,13.3,25.0
2015-07-23,30,185,19,10,60,0.0,1014,10,37,23,13.9,35.0
2015-07-29,30,171,10,17,57,0.0,1015,9,37,23,13.3,41.0
2015-08-04,30,188,13,27,58,0.0,1013,10,35,25,13.3,47.0
2015-08-10,31,159,11,6,51,0.0,1013,9,39,23,13.6,27.0
2015-08-16,29,140,10,11,54,0.1,1014,10,36,23,13.5,24.0
2015-08-22,30,177,17,14,61,0.0,1013,10,37,23,11.6,21.0
2015-08-28,29,191,12,15,40,0.0,1015,10,35,23,11.6,40.0
2015-09-03,27,94,8,45,67,0.1,1012,10,33,23,8.9,19.0
2015-09-09,28,220,9,31,67,0.3,1012,10,33,24,10.2,20.0
2015-09-15,26,132,11,62,76,0.1,1016,9,32,21,7.5,21.0
2015-09-27,26,146,10,15,46,0.0,1012,10,32,21,11.6,30.0
2015-10-03,22,69,10,6,34,0.0,1012,10,28,15,11.6,22.0
2015-10-09,26,159,6,36,64,0.0,1018,10,31,22,11.6,33.0
2015-10-21,24,119,19,71,79,0.1,1017,9,29,21,5.7,29.0
2015-10-27,20,275,11,3,63,0.0,1011,10,26,14,8.7,18.0
