date_local,PM2.5,avgtempC,avgtempF,winddirDegree,windspeedKmph,windspeedMiles,cloudcover,humidity,precipInches,precipMM,pressure,visibility,maxtempC,maxtempF,mintempC,mintempF,sunHour,uvIndex,NO2,SO,PM10
2015-01-06,8.5,9,49,208,10,6,6,56,0.0,0.0,1028,10,17,63,4,39,8.7,1,28.395833000000003,0.43333299999999997,28.0
2015-01-12,7.2,6,42,110,14,9,34,79,0.0,0.0,1025,10,8,47,4,39,8.7,1,7.883333,0.120833,10.0
2015-01-18,6.0,13,55,230,12,8,13,46,0.0,0.0,1025,10,19,67,8,46,8.7,1,23.45,0.2,22.0
2015-01-24,7.6,8,46,266,12,8,31,60,0.0,0.0,1022,10,15,59,3,37,10.8,1,11.670833,0.05714299999999999,16.0
2015-01-30,6.1,11,52,48,19,12,54,55,0.0,0.0,1028,10,13,56,9,47,8.5,1,15.982353,0.6,15.0
2015-02-05,9.7,5,41,274,17,11,39,67,0.0,0.0,1028,10,8,47,3,37,8.5,1,6.075,0.116667,14.0
2015-02-11,11.3,16,60,145,11,7,2,62,0.0,0.0,1016,10,23,73,9,48,11.0,1,25.741667,0.2,23.0
2015-02-17,6.8,5,40,160,16,10,39,51,0.0,0.1,1023,10,11,52,1,34,10.1,1,12.1625,0.0041670000000000006,13.0
2015-03-01,8.5,3,38,57,18,11,100,87,0.0,0.3,1025,9,5,42,1,34,5.9,1,6.640909,0.4,9.0
2015-03-07,10.0,8,47,125,7,5,32,51,0.0,0.0,1029,10,14,57,3,37,11.6,1,32.2125,0.343478,23.0
2015-03-13,6.4,14,58,145,13,8,59,73,0.0,0.7,1018,9,19,67,10,50,8.8,1,10.466667,0.333333,19.0
2015-03-19,10.2,21,69,177,13,8,72,85,0.1,3.0,1014,8,26,78,18,64,8.8,1,16.2875,0.44761899999999993,11.0
2015-03-25,5.0,20,68,179,20,12,33,82,0.0,0.0,1013,9,26,80,15,60,10.2,1,15.608332999999998,0.541667,19.0
2015-03-31,8.7,20,69,193,20,12,83,85,0.0,0.1,1016,10,23,73,18,64,7.5,1,14.0,0.2,24.0
2015-04-06,11.1,22,72,175,21,13,63,83,0.0,0.1,1013,9,27,81,18,64,10.2,1,11.7,0.6,23.0
2015-04-12,12.5,21,70,155,12,7,82,86,0.1,2.0,1012,6,26,79,18,64,6.3,1,11.38,0.0,21.0
