date_local,Ozone(ppm),PM2.5,PM10,NO2,SO
2015-01-06,0.025044999999999998,8.5,28.0,28.395833000000003,0.43333299999999997
2015-01-12,0.011470999999999999,7.2,10.0,7.883333,0.120833
2015-01-18,0.039471,6.0,22.0,23.45,0.2
2015-01-24,0.026175999999999998,7.6,16.0,11.670833,0.05714299999999999
2015-01-30,0.023666999999999997,6.1,15.0,15.982353,0.6
2015-02-05,0.016125,9.7,14.0,6.075,0.116667
2015-02-11,0.043412,11.3,23.0,25.741667,0.2
2015-02-17,0.030625,6.8,13.0,12.1625,0.0041670000000000006
2015-03-01,0.019294,8.5,9.0,6.640909,0.4
2015-03-07,0.042,10.0,23.0,32.2125,0.343478
2015-03-13,0.041667,6.4,19.0,10.466667,0.333333
2015-03-19,0.022059,10.2,11.0,16.2875,0.44761899999999993
2015-03-25,0.037647,5.0,19.0,15.608332999999998,0.541667
2015-03-31,0.033824,8.7,24.0,14.0,0.2
2015-04-06,0.031824,11.1,23.0,11.7,0.6
2015-04-12,0.022294,12.5,21.0,11.38,0.0
2015-04-18,0.034588,5.6,13.0,13.441667,0.1
2015-04-24,0.020541999999999998,17.2,30.0,13.604167000000002,0.1
2015-04-30,0.051940999999999994,9.4,24.0,24.765217,0.4
2015-05-06,0.032588,8.8,23.0,13.254167,0.404167
2015-05-12,0.021825999999999998,6.1,11.0,13.55,-0.116667
2015-05-30,0.034529000000000004,5.5,14.0,9.925,0.147826
2015-06-05,0.035824,8.6,20.0,19.345833,0.43333299999999997
2015-06-11,0.024881999999999998,5.6,17.0,11.179167,0.070588
2015-07-05,0.019706,18.3,53.0,5.605,0.1
2015-07-11,0.022647,17.7,50.0,9.641667,0.3
2015-07-17,0.027118,7.9,25.0,9.879167,0.2
2015-07-23,0.027999999999999997,13.8,35.0,9.916667,0.508333
2015-07-29,0.027999999999999997,15.8,41.0,12.094118,0.2
2015-08-04,0.030059,16.4,47.0,11.775,0.225
2015-08-10,0.040471,9.7,27.0,15.525,0.3
2015-08-16,0.05625,13.8,24.0,16.172727,0.5
2015-08-22,0.026764999999999997,8.3,21.0,9.454167,0.31304299999999996
2015-08-28,0.068353,14.6,40.0,19.965217000000003,1.008333
2015-09-03,0.035,3.7,19.0,18.829167,0.1
2015-09-09,0.023587999999999998,7.1,20.0,11.879167,0.44736800000000004
2015-09-15,0.031682,6.5,21.0,17.283333,0.1
2015-09-27,0.054706,15.4,30.0,17.705,0.245833
2015-10-21,0.0345,7.8,29.0,15.179167000000001,0.4
2015-10-27,0.035294,5.9,18.0,15.191667,0.1
2015-11-08,0.032917,4.5,11.0,6.2,0.6
2015-11-14,0.033118,7.6,16.0,16.1875,0.4
2015-11-26,0.029542000000000002,3.9,12.0,9.1375,0.0125
2015-12-02,0.032353,6.0,18.0,12.408333,0.4
2015-12-20,0.027917,6.5,16.0,13.725,0.3125
2015-12-26,0.021059,10.2,18.0,4.420833,0.5
2016-01-01,0.031542,7.7,9.0,3.925,0.0
2016-01-07,0.021176,8.4,16.0,15.125,0.625
2016-01-13,0.039882,12.7,28.0,31.904166999999998,0.7
2016-01-19,0.033375,8.2,21.0,24.941667000000002,0.2
2016-01-25,0.037917,9.1,23.0,16.129167000000002,0.6
2016-01-31,0.035625,10.5,22.0,17.604545,0.4
2016-02-12,0.051882000000000005,10.5,28.0,18.404545000000002,0.804167
2016-02-18,0.046882,7.9,21.0,17.2,0.1375
2016-02-24,0.038058999999999996,6.7,72.0,9.070833,0.029167000000000002
2016-03-01,0.040529,6.9,26.0,6.704167,0.2
2016-03-07,0.032458,7.7,21.0,8.591667,0.1
2016-03-13,0.042235,8.5,21.0,12.74,0.0
2016-03-19,0.042706,5.7,14.0,3.891667,-0.1
2016-03-25,0.044000000000000004,6.7,22.0,21.891667,0.5
2016-03-31,0.047471,13.4,28.0,12.658333,0.429167
2016-04-24,0.044458,7.5,23.0,13.231817999999999,0.1
2016-05-06,0.050470999999999995,9.9,28.0,26.927778000000004,0.033333
2016-05-12,0.045118,9.3,21.0,19.5,0.041667
2016-06-05,0.049706,5.0,15.0,5.795,0.0
2016-06-11,0.031412,11.5,23.0,11.820833,0.0
2016-06-17,0.028999999999999998,11.2,28.0,12.283333,0.2125
2016-06-23,0.038824000000000004,5.7,19.0,13.741667000000001,0.0
2016-06-29,0.047529,9.1,20.0,26.442857,0.1
2016-07-05,0.028294,10.7,25.0,8.916667,-0.075
2016-07-11,0.019118,28.4,81.0,6.5375,0.3
2016-07-17,0.029833,4.7,15.0,8.027273,0.325
2016-07-23,0.030826,5.5,22.0,10.258333,0.4
2016-08-04,0.029647000000000003,6.5,19.0,11.747368,0.1
2016-08-28,0.029332999999999998,6.5,14.0,11.48,0.2
2016-09-03,0.034881999999999996,16.5,26.0,14.754167,0.3
2016-09-15,0.031941000000000004,9.6,31.0,17.470833,-0.05
2016-09-21,0.044353,12.2,29.0,22.925,0.0
2016-09-27,0.029647000000000003,7.2,18.0,8.029167,-0.1375
2016-10-03,0.065333,17.4,31.0,25.341667,0.4
2016-10-09,0.043059,9.2,21.0,15.245454999999998,0.7
2016-10-21,0.035125,10.2,20.0,13.804167000000001,0.269231
2016-10-27,0.041471,8.5,27.0,22.820833,0.145833
2016-11-08,0.022417,6.5,8.0,9.670833,-0.025
2016-11-14,0.023824,11.2,23.0,15.329167000000002,0.5
2016-11-20,0.033824,9.8,21.0,22.345,0.445833
2016-11-26,0.030118000000000002,10.5,19.0,14.975,0.631818
2016-12-02,0.027167,7.5,17.0,22.370832999999998,0.904167
2016-12-08,0.022059,5.0,11.0,5.6625,0.1
2016-12-14,0.011956999999999999,15.4,27.0,11.029167,0.116667
2016-12-20,0.021824,9.4,21.0,26.9125,0.629167
2017-01-01,0.026000000000000002,47.1,39.0,11.278947,0.4
2017-01-07,0.03113,8.5,13.0,12.579167,0.0
