date_local,NO2
2015-01-01,9.175
2015-01-02,9.308333
2015-01-03,10.916667
2015-01-04,4.763636
2015-01-05,20.108333
2015-01-06,28.395833
2015-01-07,12.866667
2015-01-08,18.0
2015-01-09,15.8125
2015-01-10,12.7375
2015-01-11,12.927273
2015-01-12,7.883333
2015-01-13,7.8625
2015-01-14,12.341667
2015-01-15,11.75
2015-01-16,22.391667
2015-01-17,17.554167
2015-01-18,23.45
2015-01-19,29.854167
2015-01-20,29.270833
2015-01-21,15.054167
2015-01-22,7.533333
2015-01-23,7.0875
2015-01-24,11.670833
2015-01-25,7.436364
2015-01-26,14.654167
2015-01-27,19.1625
2015-01-28,27.641667
2015-01-29,15.14
2015-01-30,15.982353
2015-01-31,17.9
2015-02-01,4.259091
2015-02-02,11.2
2015-02-03,22.1375
2015-02-04,21.8875
2015-02-05,6.075
2015-02-06,19.75
2015-02-07,18.633333
2015-02-08,18.25
2015-02-09,23.033333
2015-02-10,29.583333
2015-02-11,25.741667
2015-02-12,9.875
2015-02-13,27.391667
2015-02-14,23.566667
2015-02-15,18.07
2015-02-16,3.145833
2015-02-17,12.1625
2015-02-18,23.1375
2015-02-19,20.7625
2015-02-20,14.0
2015-02-21,12.2
2015-02-22,6.618182
2015-02-23,3.995833
2015-02-24,8.620833
2015-02-25,11.791667
2015-02-26,14.2125
2015-02-27,13.183333
2015-02-28,7.541667
2015-03-01,6.640909
2015-03-02,9.4875
2015-03-03,17.579167
2015-03-04,12.116667
2015-03-05,5.079167
2015-03-06,24.241667
2015-03-07,32.2125
2015-03-08,18.559091
2015-03-09,10.636842
2015-03-10,8.2375
2015-03-11,10.170833
2015-03-12,12.2625
2015-03-13,10.466667
2015-03-14,12.0875
2015-03-15,14.745
2015-03-16,20.445833
2015-03-17,19.557143
2015-03-18,16.833333
2015-03-19,16.2875
2015-03-20,9.5125
2015-03-21,5.758333
2015-03-22,8.568182
2015-03-23,20.258333
2015-03-24,18.391667
2015-03-25,15.608333
2015-03-26,4.329167
2015-03-27,13.0875
2015-03-28,20.875
2015-03-29,11.095455
2015-03-30,17.416667
2015-03-31,14.0
2015-04-01,14.5125
2015-04-02,12.879167
2015-04-03,9.704348
2015-04-04,13.470833
2015-04-05,11.836364
2015-04-06,11.7
2015-04-07,12.616667
2015-04-08,12.375
2015-04-09,12.8375
2015-04-10,15.3625
2015-04-11,14.308333
2015-04-12,11.38
2015-04-13,12.891304
2015-04-14,2.483333
2015-04-15,20.216667
2015-04-16,17.591667
2015-04-17,18.841667
2015-04-18,13.441667
2015-04-19,5.895455
2015-04-20,17.941667
2015-04-21,22.608333
2015-04-22,20.279167
2015-04-23,18.404167
2015-04-24,13.604167
2015-04-25,10.820833
2015-04-26,9.604545
2015-04-27,8.154167
2015-04-28,2.966667
2015-04-29,8.5
2015-04-30,24.765217
2015-05-01,27.213636
2015-05-02,19.058333
2015-05-03,14.168182
2015-05-04,16.745833
2015-05-05,15.958333
2015-05-06,13.254167
2015-05-07,12.295833
2015-05-08,14.504167
2015-05-09,8.791667
2015-05-10,6.7
2015-05-11,12.6625
2015-05-12,13.55
2015-05-13,17.525
2015-05-14,11.229167
2015-05-15,13.854167
2015-05-16,7.854167
2015-05-17,11.554545
2015-05-18,13.120833
2015-05-19,10.15
2015-05-20,14.258333
2015-05-21,7.029167
2015-05-22,14.866667
2015-05-23,9.695833
2015-05-24,11.318182
2015-05-25,10.558333
2015-05-26,12.891667
2015-05-27,17.995833
2015-05-28,12.836364
2015-05-29,15.0625
2015-05-30,9.925
2015-05-31,13.459091
2015-06-01,23.533333
2015-06-02,20.908333
2015-06-03,19.245833
2015-06-04,21.416667
2015-06-05,19.345833
2015-06-06,18.204167
2015-06-07,12.035
2015-06-08,13.866667
2015-06-09,14.679167
2015-06-10,15.754167
2015-06-11,11.179167
2015-06-12,11.25
2015-06-13,10.254167
2015-06-14,9.25
2015-06-15,12.3125
2015-06-16,8.816667
2015-06-17,9.55
2015-06-18,12.2625
2015-06-19,13.779167
2015-06-20,9.241667
2015-06-21,8.2
2015-06-22,9.520833
2015-06-23,10.904167
2015-06-24,12.441667
2015-06-25,11.416667
2015-06-26,10.641667
2015-06-27,12.875
2015-06-28,11.231818
2015-06-29,10.908333
