date_local,Ozone(ppm)
2016-01-01,0.031542
2016-01-02,0.025435
2016-01-03,0.027647
2016-01-04,0.028542
2016-01-05,0.027706
2016-01-06,0.013125
2016-01-07,0.021176
2016-01-08,0.026529
2016-01-09,0.026565
2016-01-10,0.030118
2016-01-11,0.02075
2016-01-12,0.034588
2016-01-13,0.039882
2016-01-14,0.039059
2016-01-15,0.031412
2016-01-16,0.030765
2016-01-17,0.028583
2016-01-18,0.022824
2016-01-19,0.033375
2016-01-20,0.019333
2016-01-21,0.029882
2016-01-22,0.029167
2016-01-23,0.029059
2016-01-24,0.042706
2016-01-25,0.037917
2016-01-26,0.029208
2016-01-27,0.031529
2016-01-28,0.034353
2016-01-29,0.042353
2016-01-30,0.041882
2016-01-31,0.035625
2016-02-01,0.039765
2016-02-02,0.042667
2016-02-03,0.037542
2016-02-04,0.0325
2016-02-05,0.043294
2016-02-06,0.040522
2016-02-07,0.043118
2016-02-08,0.041042
2016-02-09,0.035588
2016-02-10,0.043059
2016-02-11,0.046667
2016-02-12,0.051882
2016-02-13,0.041864
2016-02-14,0.032167
2016-02-15,0.036176
2016-02-16,0.042529
2016-02-17,0.046529
2016-02-18,0.046882
2016-02-19,0.043833
2016-02-20,0.028882
2016-02-21,0.023375
2016-02-22,0.030765
2016-02-23,0.035588
2016-02-24,0.038059
2016-02-25,0.039882
2016-02-26,0.038882
2016-02-27,0.050412
2016-02-28,0.042647
2016-02-29,0.039875
2016-03-01,0.040529
2016-03-02,0.040294
2016-03-03,0.042529
2016-03-04,0.046471
2016-03-05,0.050941
2016-03-06,0.04425
2016-03-07,0.032458
2016-03-08,0.033471
2016-03-09,0.035708
2016-03-10,0.028583
2016-03-11,0.035235
2016-03-12,0.042294
2016-03-13,0.042235
2016-03-14,0.047765
2016-03-15,0.042647
2016-03-16,0.035652
2016-03-17,0.023059
2016-03-18,0.027941
2016-03-19,0.042706
2016-03-20,0.036417
2016-03-21,0.044
2016-03-22,0.044765
2016-03-23,0.039167
2016-03-24,0.037
2016-03-25,0.044
2016-03-26,0.039435
2016-03-27,0.034706
2016-03-28,0.041529
2016-03-29,0.029125
2016-03-30,0.018176
2016-03-31,0.047471
2016-04-01,0.034095
2016-04-02,0.035
2016-04-03,0.046412
2016-04-04,0.049647
2016-04-05,0.052706
2016-04-06,0.044
2016-04-07,0.051176
2016-04-08,0.048647
2016-04-09,0.052588
2016-04-10,0.041667
2016-04-11,0.032
2016-04-12,0.029042
2016-04-13,0.025042
2016-04-14,0.032235
2016-04-15,0.043294
2016-04-16,0.027261
2016-04-17,0.029765
2016-04-18,0.031667
2016-04-19,0.029294
2016-04-20,0.044059
2016-04-21,0.040647
2016-04-22,0.041529
2016-04-23,0.055882
2016-04-24,0.044458
2016-04-25,0.031588
2016-04-26,0.035
2016-04-27,0.041042
2016-04-28,0.037833
2016-04-29,0.025353
2016-04-30,0.044471
2016-05-01,0.040647
2016-05-02,0.028792
2016-05-03,0.042706
