date_local,PM2.5
2018-01-01,7.208333
2018-01-02,8.0
2018-01-03,11.375
2018-01-04,13.916667
2018-01-05,12.125
2018-01-06,16.333333
2018-01-07,7.608696
2018-01-08,6.2
2018-01-09,9.979167
2018-01-10,13.1375
2018-01-11,6.708333
2018-01-12,4.041667
2018-01-13,8.125
2018-01-14,17.041667
2018-01-15,10.25
2018-01-16,4.25
2018-01-17,8.916667
2018-01-18,14.041667
2018-01-19,14.833333
2018-01-20,11.333333
2018-01-21,10.625
2018-01-22,3.833333
2018-01-23,6.0
2018-01-24,14.416667
2018-01-25,13.0
2018-01-26,10.625
2018-01-27,8.0
2018-01-28,6.0
2018-01-29,5.208333
2018-01-30,11.25
2018-01-31,11.458333
2018-02-01,7.125
2018-02-02,6.125
2018-02-03,13.5
2018-02-04,18.291667
2018-02-05,17.708333
2018-02-06,18.208333
2018-02-07,15.166667
2018-02-08,16.181818
2018-02-09,14.75
2018-02-10,20.958333
2018-02-11,12.333333
2018-02-12,13.458333
2018-02-13,19.041667
2018-02-14,14.166667
2018-02-15,9.958333
2018-02-16,8.958333
2018-02-17,10.875
2018-02-18,14.0
2018-02-19,12.166667
2018-02-20,13.0
2018-02-21,3.826087
2018-02-22,6.375
2018-02-23,11.416667
2018-02-24,14.75
2018-02-25,6.166667
2018-02-26,9.5
2018-02-27,13.75
2018-02-28,14.333333
2018-03-01,10.291667
2018-03-02,15.75
2018-03-03,17.583333
2018-03-04,11.956522
2018-03-05,7.826087
2018-03-06,4.291667
2018-03-07,7.083333
2018-03-08,10.083333
2018-03-09,9.666667
2018-03-10,12.083333
2018-03-11,11.0
2018-03-12,10.958333
2018-03-13,12.416667
2018-03-14,18.208333
2018-03-15,15.125
2018-03-16,11.541667
2018-03-17,17.041667
2018-03-18,18.5
2018-03-19,13.291667
2018-03-20,4.0
2018-03-21,8.958333
2018-03-22,10.791667
2018-03-23,12.416667
2018-03-24,14.125
2018-03-25,13.875
2018-03-26,16.791667
2018-03-27,12.75
2018-03-28,5.166667
2018-03-29,8.208333
2018-03-30,10.583333
2018-03-31,15.458333
2018-04-01,14.083333
2018-04-02,14.5
2018-04-03,16.25
2018-04-04,7.347826
2018-04-05,10.75
2018-04-06,14.083333
2018-04-07,7.125
2018-04-08,14.0
2018-04-09,18.0
2018-04-10,13.416667
2018-04-11,13.583333
2018-04-12,12.041667
2018-04-13,20.916667
2018-04-14,9.125
2018-04-15,12.25
2018-04-16,12.458333
2018-04-17,12.083333
2018-04-18,16.208333
2018-04-19,7.833333
2018-04-20,13.125
2018-04-21,19.25
2018-04-22,6.666667
2018-04-23,10.083333
2018-04-24,13.375
2018-04-25,11.083333
2018-04-26,8.416667
2018-04-27,12.0
2018-04-28,15.458333
2018-04-29,13.208333
2018-04-30,13.25
2018-05-01,12.0
2018-05-02,15.7
2018-05-03,18.333333
2018-05-04,9.875
2018-05-05,10.708333
2018-05-06,14.0
2018-05-07,14.428571
2018-05-08,8.8
2018-05-11,11.2
2018-05-14,10.5
2018-05-16,11.846154
2018-05-17,12.3125
2018-05-18,14.904762
2018-05-20,5.1
2018-05-21,9.5
2018-05-22,8.083333
2018-05-23,7.0
2018-05-24,7.5
2018-05-25,5.333333
2018-05-26,6.7
2018-05-29,7.8
2018-05-30,5.5
2018-05-31,8.375
2018-06-01,16.833333
2018-06-02,13.583333
2018-06-03,11.625
2018-06-04,9.583333
2018-06-05,9.458333
2018-06-06,9.291667
2018-06-07,8.2
2018-06-08,8.333333
2018-06-09,11.583333
2018-06-10,22.291667
2018-06-11,15.333333
2018-06-12,9.208333
2018-06-13,10.083333
2018-06-14,6.5
2018-06-15,6.75
2018-06-16,9.9
2018-06-17,6.875
2018-06-18,3.708333
2018-06-19,6.3
2018-06-20,4.583333
2018-06-21,10.208333
2018-06-22,17.166667
2018-06-23,11.666667
2018-06-24,9.416667
2018-06-25,8.9
2018-06-26,8.958333
2018-06-27,8.125
2018-06-28,9.9
2018-06-29,19.958333
2018-06-30,35.833333
2018-07-01,36.6
2018-07-02,23.130435
2018-07-03,22.5
2018-07-04,16.208333
2018-07-05,15.833333
2018-07-06,10.958333
2018-07-07,7.791667
2018-07-08,6.291667
2018-07-09,12.458333
2018-07-10,18.920833
2018-07-11,15.245833
2018-07-12,14.1125
2018-07-13,13.8
2018-07-14,10.195833
2018-07-15,30.020833
2018-07-16,38.3
2018-07-17,23.233333
2018-07-18,18.41
2018-07-19,16.7
2018-07-20,16.254167
2018-07-21,18.7875
2018-07-22,22.1
2018-07-23,14.891667
2018-07-24,14.166667
2018-07-25,18.2
2018-07-26,14.5625
2018-07-27,13.904167
2018-07-28,18.8125
2018-07-29,19.8875
2018-07-30,11.566667
2018-07-31,11.8
2018-08-01,8.563636
2018-08-02,12.033333
2018-08-03,14.4
