date_local,SO
2019-01-01,-0.1375
2019-01-02,-0.175
2019-01-03,-0.085714
2019-01-04,-0.0625
2019-01-05,0.0
2019-01-06,-0.025
2019-01-07,-0.1
2019-01-08,-0.1375
2019-01-09,-0.16
2019-01-10,0.004167
2019-01-11,-0.1
2019-01-12,-0.171429
2019-01-13,-0.233333
2019-01-14,-0.24
2019-01-15,-0.15
2019-01-16,-0.0375
2019-01-17,-0.0375
2019-01-18,0.0125
2019-01-19,-0.157143
2019-01-20,-0.2
2019-01-21,0.15
2019-01-22,0.009091
2019-01-23,-0.175
2019-01-24,0.1125
2019-01-25,-0.0625
2019-01-26,-0.057143
2019-01-27,-0.0375
2019-01-28,0.045833
2019-01-29,-0.05
2019-01-30,0.504167
2019-01-31,0.0125
2019-02-01,0.0125
2019-02-02,0.0
2019-02-03,0.0
2019-02-04,0.0125
2019-02-05,0.025
2019-02-06,0.033333
2019-02-07,-0.0875
2019-02-08,-0.25
2019-02-09,-0.228571
2019-02-10,-0.25
2019-02-11,-0.042857
2019-02-12,-0.183333
2019-02-13,0.033333
2019-02-14,0.025
2019-02-15,0.1
2019-02-16,-0.071429
2019-02-17,-0.075
2019-02-18,-0.0625
2019-02-19,-0.1
2019-02-20,-0.1
2019-02-21,-0.0375
2019-02-22,-0.05
2019-02-23,-0.057143
2019-02-24,-0.15
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,0.041667
2019-02-28,-0.0625
2019-03-01,0.0
2019-03-02,0.0
2019-03-03,-0.0625
2019-03-04,-0.175
2019-03-05,-0.185714
2019-03-06,0.2
2019-03-07,0.0
2019-03-08,0.025
2019-03-09,0.004545
2019-03-10,0.0125
2019-03-11,0.0
2019-03-12,0.1
2019-03-13,0.0125
2019-03-14,-0.1
2019-03-15,-0.2
2019-03-16,0.1
2019-03-17,0.2
2019-03-18,0.0125
2019-03-19,0.2
2019-03-20,0.0
2019-03-21,0.0
2019-03-22,0.125
2019-03-23,0.2
2019-03-24,0.0
2019-03-25,0.0
2019-03-26,0.0
2019-03-27,0.017391
2019-03-28,0.0
2019-03-29,0.116667
2019-03-30,-0.028571
2019-03-31,-0.1
2019-04-01,0.0
2019-04-02,0.1
2019-04-03,0.0125
2019-04-04,0.016667
2019-04-05,0.1
2019-04-06,0.1
2019-04-07,-0.1
2019-04-08,-0.1
2019-04-09,0.0
2019-04-10,0.104167
2019-04-11,0.0
2019-04-12,0.0
2019-04-13,-0.033333
2019-04-14,0.0
2019-04-15,0.041667
2019-04-16,0.1
2019-04-17,0.1
2019-04-18,0.004167
2019-04-19,-0.0125
2019-04-20,0.1
2019-04-21,-0.1
2019-04-22,-0.125
2019-04-23,-0.1
2019-04-24,-0.085714
2019-04-25,-0.075
2019-04-26,-0.1125
2019-04-27,0.0
2019-04-28,0.0
2019-04-29,0.025
2019-04-30,0.0375
2019-05-01,0.045833
2019-05-02,0.0
2019-05-03,0.0125
2019-05-04,0.014286
2019-05-05,0.0
2019-05-06,0.029167
2019-05-07,0.025
2019-05-08,0.029167
2019-05-09,0.0125
2019-05-10,-0.05
2019-05-11,-0.057143
2019-05-12,0.0
2019-05-13,0.0
2019-05-14,0.021739
2019-05-15,0.020833
2019-05-16,0.020833
2019-05-17,0.041667
2019-05-18,0.045455
2019-05-19,0.028571
2019-05-20,0.0125
2019-05-21,0.008333
2019-05-22,0.029167
2019-05-23,0.025
2019-05-24,0.0
2019-05-25,-0.042857
2019-05-26,0.029167
2019-05-27,0.045833
2019-05-28,0.03913
2019-05-29,0.1
2019-05-30,0.029167
2019-05-31,0.029167
2019-06-01,0.042857
2019-06-02,0.0
