date,avgtempC,avgtempF,winddirDegree,windspeedKmph,windspeedMiles,cloudcover,humidity,precipInches,precipMM,pressure,visibility,maxtempC,maxtempF,mintempC,mintempF,sunHour,uvIndex
2016-01-01,7,45,59,22,14,58,70,0.0,0.0,1031,10,8,47,6,43,8.7,1
2016-01-02,6,44,123,9,5,90,68,0.0,0.0,1030,10,8,46,6,42,3.8,1
2016-01-03,9,48,230,10,6,36,74,0.0,0.7,1025,9,15,59,5,42,8.7,1
2016-01-04,8,46,129,13,8,57,72,0.0,0.2,1024,9,11,52,5,42,5.4,1
2016-01-05,8,46,78,12,7,59,82,0.0,0.0,1025,9,12,53,4,39,8.7,1
2016-01-06,9,48,121,9,5,100,87,0.2,5.0,1019,9,11,52,7,45,3.8,1
2016-01-07,13,56,257,10,6,22,79,0.0,0.0,1012,8,20,68,8,47,8.7,1
2016-01-08,13,56,212,13,8,9,77,0.0,0.1,1009,10,19,66,9,48,8.7,1
2016-01-09,9,48,323,23,14,8,60,0.0,0.0,1016,10,12,54,4,40,8.7,1
2016-01-10,4,39,199,14,8,5,63,0.0,0.0,1026,10,8,46,1,33,8.7,1
2016-01-11,5,41,101,6,4,18,65,0.0,0.0,1024,10,8,47,0,33,8.7,1
2016-01-12,9,49,237,8,5,2,67,0.0,0.0,1025,10,16,61,5,41,8.7,1
2016-01-13,11,52,208,13,8,26,73,0.0,0.0,1021,10,17,63,7,44,8.7,1
2016-01-14,14,57,198,14,9,46,82,0.0,0.3,1013,10,19,66,11,51,7.1,1
2016-01-15,14,57,248,13,8,3,55,0.0,0.0,1009,10,19,66,11,52,8.7,1
2016-01-16,10,51,160,15,9,39,64,0.0,0.0,1012,10,16,60,6,43,5.5,1
2016-01-17,7,44,175,9,6,12,63,0.0,0.0,1021,10,12,54,2,36,8.7,1
2016-01-18,8,46,130,9,6,3,61,0.0,0.0,1026,10,12,54,5,40,8.7,1
2016-01-19,12,54,184,18,11,42,81,0.0,0.0,1022,10,18,65,7,44,7.1,1
2016-01-20,11,51,130,11,7,75,64,0.0,0.7,1020,9,14,58,7,45,3.9,1
2016-01-21,13,55,275,19,12,43,71,0.0,0.1,1016,9,15,59,8,47,7.1,1
2016-01-22,6,44,298,22,14,8,59,0.0,0.0,1025,10,11,51,4,38,8.7,1
2016-01-23,6,43,129,8,5,1,58,0.0,0.0,1025,10,12,54,1,33,10.7,1
